id,name,category,status,parsed_fields_count,warnings,raw_snippet
124551,Lindt Adventskalender Natur Edition verschiedene Füllungen 317g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2422.0 not in [0.0, 900.0] | energy_mismatch:kJ=581.0 inconsistent_with_kcal=2422.0 | warnings_present","Brennwert: 581 Kilokalorien (kcal) Brennwert: 2422 Kilojoule (kJ) Kohlenhydrate: 52g Kohlenhydrate, davon Zucker: 50g Fett: 38g Fett, davon…"
124558,Lindor Mini Adventskalender mit feinsten Lindor Pralinen 109g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:5, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2534.0 not in [0.0, 900.0] | energy_mismatch:kJ=610.0 inconsistent_with_kcal=2534.0 | warnings_present","Brennwert: 610 Kilokalorien (kcal) Brennwert: 2534 Kilojoule (kJ) Kohlenhydrate: 45g Kohlenhydrate, davon Zucker: 44g Fett: 45g Fett, davon…"
124562,Lindt Adventskalender Filz Edition verschiedene Füllungen 275g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2443.0 not in [0.0, 900.0] | energy_mismatch:kJ=587.0 inconsistent_with_kcal=2443.0 | warnings_present","Brennwert: 587 Kilokalorien (kcal) Brennwert: 2443 Kilojoule (kJ) Kohlenhydrate: 51g Kohlenhydrate, davon Zucker: 49g Fett: 39g Fett, davon…"
124573,Lindt Mischung Baumbehang Vollmilch mit verschiedenen Füllungen 200g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2338.0 not in [0.0, 900.0] | energy_mismatch:kJ=560.0 inconsistent_with_kcal=2338.0 | warnings_present","Brennwert: 560 Kilokalorien (kcal) Brennwert: 2338 Kilojoule (kJ) Kohlenhydrate: 55g Kohlenhydrate, davon Zucker: 53g Fett: 34g Fett, davon…"
124623,Lindt Eierlikör Fläschchen Zartbitter Schokolade mit Eierlikör 131g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2050.0 not in [0.0, 900.0] | energy_mismatch:kJ=492.0 inconsistent_with_kcal=2050.0 | warnings_present","Brennwert: 492 Kilokalorien (kcal) Brennwert: 2050 Kilojoule (kJ) Kohlenhydrate: 45g Kohlenhydrate, davon Zucker: 42g Fett: 28g Fett, davon…"
124647,Lindt Santa Weihnachtsmann Design Edition Vollmilch Schokolade 70g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2272.0 not in [0.0, 900.0] | energy_mismatch:kJ=544.0 inconsistent_with_kcal=2272.0 | warnings_present","Brennwert: 544 Kilokalorien (kcal) Brennwert: 2272 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 32g Fett, davon…"
124648,Lindt Marc de Champagne Schokoladen Fläschchen gefüllter Genuss 131g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2094.0 not in [0.0, 900.0] | energy_mismatch:kJ=503.0 inconsistent_with_kcal=2094.0 | warnings_present","Brennwert: 503 Kilokalorien (kcal) Brennwert: 2094 Kilojoule (kJ) Kohlenhydrate: 47g Kohlenhydrate, davon Zucker: 44g Fett: 30g Fett, davon…"
124653,Lindt Williams Fläschchen Schokolade mit Birnenbrand Füllung 131g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:3, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:1908.0 not in [0.0, 900.0] | energy_mismatch:kJ=457.0 inconsistent_with_kcal=1908.0 | warnings_present","Brennwert: 457 Kilokalorien (kcal) Brennwert: 1908 Kilojoule (kJ) Kohlenhydrate: 49g Kohlenhydrate, davon Zucker: 43g Fett: 23g Fett, davon…"
124654,Lindt Natur Edition Tasche mit verschiedenen Schokoladen 179g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2330.0 not in [0.0, 900.0] | energy_mismatch:kJ=559.0 inconsistent_with_kcal=2330.0 | warnings_present","Brennwert: 559 Kilokalorien (kcal) Brennwert: 2330 Kilojoule (kJ) Kohlenhydrate: 55g Kohlenhydrate, davon Zucker: 53g Fett: 34g Fett, davon…"
124658,Lindt Natur Edition Mini Kugeln Vollmilch Schokolade Beutel 100g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2275.0 not in [0.0, 900.0] | energy_mismatch:kJ=545.0 inconsistent_with_kcal=2275.0 | warnings_present","Brennwert: 545 Kilokalorien (kcal) Brennwert: 2275 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 56g Fett: 32g Fett, davon…"
